Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Household received Food Stamps/SNAP in the past 12 months,Margin of Error; Total: - Household received Food Stamps/SNAP in the past 12 months,Estimate; Total: - Household did not receive Food Stamps/SNAP in the past 12 months,Margin of Error; Total: - Household did not receive Food Stamps/SNAP in the past 12 months
1,Alabama,17489,1637,1263,565,16226,1528
2,Alaska,11330,1104,1959,698,9371,1075
4,Arizona,69603,2499,5126,1028,64477,2414
5,Arkansas,11991,1265,666,433,11325,1227
6,California,1686190,11837,83902,4656,1602288,12232
8,Colorado,49014,2285,3710,892,45304,2520
9,Connecticut,50110,2145,3187,819,46923,2249
10,Delaware,11805,969,486,335,11319,1051
11,District of Columbia,10181,969,771,442,9410,980
12,Florida,163027,4960,14621,2175,148406,4955
13,Georgia,111612,2993,7457,1225,104155,2953
15,Hawaii,174552,3801,13534,1596,161018,4023
16,Idaho,7029,1123,803,460,6226,1247
17,Illinois,211389,4108,19709,2052,191680,4254
18,Indiana,40852,2284,3040,959,37812,2263
19,Iowa,21653,1763,2755,653,18898,1828
20,Kansas,24807,1621,1969,705,22838,1683
21,Kentucky,17229,1462,1564,562,15665,1522
22,Louisiana,22492,1776,1486,647,21006,1741
23,Maine,4080,839,301,197,3779,868
24,Maryland,114501,2914,8257,1293,106244,2971
25,Massachusetts,129604,3499,15808,1656,113796,3683
26,Michigan,86208,2472,6736,1137,79472,2625
27,Minnesota,71089,2682,11095,1620,59994,2383
28,Mississippi,8589,1500,636,659,7953,1340
29,Missouri,34584,2026,2011,762,32573,2181
30,Montana,2564,853,0,161,2564,853
31,Nebraska,11619,1069,1590,608,10029,1048
32,Nevada,70620,2724,6353,1356,64267,2836
33,New Hampshire,10430,1241,978,530,9452,1305
34,New Jersey,252544,3489,11688,1814,240856,3817
35,New Mexico,11240,1056,453,348,10787,1068
36,New York,504011,6028,69058,3788,434953,6677
37,North Carolina,76929,2609,6403,1199,70526,2582
38,North Dakota,3117,669,408,322,2709,755
39,Ohio,76576,2619,6126,1247,70450,2563
40,Oklahoma,22782,1557,2680,824,20102,1463
41,Oregon,52198,2329,7125,1156,45073,2183
42,Pennsylvania,122335,2993,12390,1550,109945,3168
44,Rhode Island,10568,1203,1001,465,9567,1174
45,South Carolina,21751,1755,1111,403,20640,1775
46,South Dakota,2989,716,395,232,2594,731
47,Tennessee,31695,1949,2205,771,29490,2094
48,Texas,373317,6925,24838,2705,348479,6790
49,Utah,18902,1376,1579,721,17323,1588
50,Vermont,2232,427,444,267,1788,522
51,Virginia,151935,3655,7936,1311,143999,3614
53,Washington,181459,4609,22310,1892,159149,4631
54,West Virginia,4213,816,424,410,3789,785
55,Wisconsin,43367,1776,8216,1336,35151,2001
72,Puerto Rico,3088,906,1353,567,1735,626
